epoch,train_loss,val_loss,train_acc,val_acc,val_f1_macro,timestamp
1,0.8168,0.5217,0.6912,0.7998,0.7793,2026-09-03 06:44:58
2,0.5762,0.4213,0.783,0.8358,0.8186,2026-09-03 06:50:25
3,0.4631,0.3232,0.8273,0.8745,0.8703,2026-09-03 06:55:42
4,0.4116,0.5794,0.8485,0.8054,0.8009,2026-09-03 07:00:39
5,0.3732,0.6046,0.8615,0.7832,0.7792,2026-09-03 07:06:01
6,0.3501,0.222,0.8736,0.9188,0.9098,2026-09-03 07:11:11
7,0.3157,0.3574,0.8884,0.8542,0.84,2026-09-03 07:15:20
8,0.301,0.1972,0.8882,0.9391,0.9382,2026-09-03 07:19:05
9,0.2643,0.3003,0.9039,0.8847,0.8616,2026-09-03 07:23:03
10,0.2427,0.2401,0.913,0.9133,0.896,2026-09-03 07:28:09
11,0.2411,0.2325,0.9128,0.9142,0.9089,2026-09-03 07:33:16
12,0.2152,0.2891,0.9248,0.8948,0.8898,2026-09-03 07:38:09
13,0.1881,0.2174,0.9373,0.9244,0.9188,2026-09-03 07:43:36
14,0.2051,0.1325,0.9262,0.9557,0.9487,2026-09-03 07:50:14
15,0.1653,0.1082,0.944,0.9659,0.9645,2026-09-03 07:56:01
16,0.172,0.1262,0.941,0.9557,0.9488,2026-09-03 08:01:55
17,0.1753,0.2363,0.9407,0.917,0.9192,2026-09-03 08:07:21
18,0.1538,0.1323,0.9468,0.9566,0.9504,2026-09-03 08:12:56
19,0.1335,0.12,0.9531,0.953,0.9492,2026-09-03 08:18:23
20,0.1384,0.3293,0.9519,0.8893,0.8902,2026-09-03 08:23:36
